"T 07.06.04.02.01";
"Consommation d'une sélection de denrées alimentaires en 2019¹";
;
;
;"kg par personne"
"Vin";"32.796733"
"Sucre";"34.353051"
"Viande";"47.770128"
"Pommes de terre";"48.376745"
"Céréales";"89.185567"
"Légumes";"99.262311"
"Fruits";"111.635083"
"Lait et produits laitiers";"234.931614"
"¹   provisoire";
;
"Source: USP – Bilan des denrées alimentaires";
"© OFS 2021";
"Dernière mise à jour:  21.01.2021";
